theta,wvl,flux,r,n,log_mstar,log_mdust_over_mstar
18.67,80.67937511,1.61719465932415e-10,2.5538575562170904,0.9523013018438129,11.32,-2.74
18.67,86.66458942,1.6109624841338302e-10,2.550791249540948,0.9822996444788035,11.32,-2.74
18.67,93.09381796,1.57121893695218e-10,2.544002023464731,0.98153928829971,11.32,-2.74
18.67,100.0,1.5094651395918698e-10,2.5453435045642427,1.0024790945123017,11.32,-2.74
18.67,104.5226243,1.40884374335699e-10,2.524791965906337,1.0097485481669004,11.32,-2.74
18.67,114.8355997,1.30205313567604e-10,2.5228239730813993,1.0351422747008299,11.32,-2.74
18.67,126.1661294,1.13363916233889e-10,2.523872219285871,1.039015426936381,11.32,-2.74
18.67,138.6146131,9.427927435091101e-11,2.5239547074717024,1.0355526702636728,11.32,-2.74
18.67,152.2913563,7.678738654477999e-11,2.5000912731164315,1.0246977483262052,11.32,-2.74
18.67,167.3175481,6.172719004588001e-11,2.488126515316147,1.0319944593724844,11.32,-2.74
18.67,183.8263352,4.8487293467440003e-11,2.499449327835571,1.0435772198217348,11.32,-2.74
18.67,201.9640013,3.730531108085e-11,2.480084376936221,1.0426718656846632,11.32,-2.74
18.67,221.8912637,2.8812441679250002e-11,2.4709190191398256,1.0502775407621125,11.32,-2.74
18.67,243.7846973,2.134964754364e-11,2.467293082069507,1.0320483789031414,11.32,-2.74
18.67,267.8382989,1.5663477757499998e-11,2.456132817547403,1.0392837020175183,11.32,-2.74
18.67,294.2652069,1.113739947055e-11,2.4477363525191302,1.0486126994225466,11.32,-2.74
18.67,323.2995891,7.88079607897e-12,2.464657379580884,1.0484945366478418,11.32,-2.74
18.67,355.1987182,5.5953696535700005e-12,2.440485995512516,1.0114718085801913,11.32,-2.74
18.67,390.2452514,3.97161242689e-12,2.441050627017559,1.0342511095175109,11.32,-2.74
18.67,428.7497349,2.76838517318e-12,2.445882330815618,1.0256940250907445,11.32,-2.74
18.67,471.0533555,1.92133485136e-12,2.435482201990393,1.0199326058661278,11.32,-2.74
18.67,517.5309642,1.33947076038e-12,2.413872162435383,1.0083100859862122,11.32,-2.74
18.67,568.5943977,9.3124000498e-13,2.441050627017559,1.0165223433628678,11.32,-2.74
18.67,624.6961273,6.4552704453e-13,2.418966494429108,0.9993794423020812,11.32,-2.74
18.67,686.3332685,4.3921302807e-13,2.4115114848928942,1.010063635273467,11.32,-2.74
18.67,754.0519861,3.01922054786e-13,2.4081146928817945,0.9991040153207669,11.32,-2.74
18.67,828.4523333,2.07782961295e-13,2.4081146928817945,0.9775605929292683,11.32,-2.74
18.67,910.1935691,1.41998824297e-13,2.4081146928817945,0.9958309823932754,11.32,-2.74
18.67,1000.0,8.5919996917e-14,2.383531514441574,0.9588488946884399,11.32,-2.74
26.53,0.09,5.515552922411008e-12,11.142284556552317,0.20000000146611688,11.32,-2.74
26.53,0.09888006579,2.3455318268139408e-11,11.1403967380588,0.2000000004568411,11.32,-2.74
